Isolate,Streptomycin,Rifampicin,Chloramphenicol,Vancomycin,Tetracycline,Streptothricin,Value
3A,5,0.05,20,0.125,20,10,MIC
3B,5,2,80,0.25,20,960,MIC
3C,0.5,2,20,0.5,20,640,MIC
3D,10,40,20,0.5,160,960,MIC
3E,0.5,10,20,0.5,40,320,MIC
3F,0.5,1,5,0.125,2,2,MIC
3G,0.5,1,80,2,80,2,MIC
3H,0.5,1,80,2,80,2,MIC
3I,0.25,20,10,0.5,40,0.5,MIC
3J,0.5,1,10,0.25,20,2,MIC
4A,0.5,5,20,0.5,80,2,MIC
4B,0.25,5,10,5,80,1,MIC
4C,0.5,5,10,1,80,2,MIC
4D,0.5,2,40,0.5,80,1,MIC
4E,5,1,20,0.125,40,10,MIC
4F,0.25,5,20,0.5,80,0.5,MIC
4G,5,20,40,0.5,20,320,MIC
4H,0.5,5,20,1,80,20,MIC
4I,5,0.5,10,0.125,20,10,MIC
4J,5,0.25,10,0.5,2,320,MIC
3A,0.5,0.005,2,0.0125,2,1,SICA
3B,0.5,0.2,8,0.025,2,96,SICA
3C,0.05,0.2,2,0.05,2,64,SICA
3D,1,4,2,0.05,16,96,SICA
3E,0.05,1,2,0.05,4,32,SICA
3F,0.05,0.1,0.5,0.0125,0.2,0.2,SICA
3G,0.05,0.1,8,0.2,8,0.2,SICA
3H,0.05,0.1,8,0.2,8,0.2,SICA
3I,0.025,2,1,0.05,4,0.05,SICA
3J,0.05,0.1,1,0.025,2,0.2,SICA
4A,0.05,0.5,2,0.05,8,0.2,SICA
4B,0.025,0.5,1,0.5,8,0.1,SICA
4C,0.05,0.5,1,0.1,8,0.2,SICA
4D,0.05,0.2,4,0.05,8,0.1,SICA
4E,0.5,0.1,2,0.0125,4,1,SICA
4F,0.025,0.5,2,0.05,8,0.05,SICA
4G,0.5,2,4,0.05,2,32,SICA
4H,0.05,0.5,2,0.1,8,2,SICA
4I,0.5,0.05,1,0.0125,2,1,SICA
4J,0.5,0.025,1,0.05,0.2,32,SICA
