ExID,Field,E001Plot_ID,Treatment,LabPlot_ID,Sample,pH,Bray-P,K,NO3-N,Total C
e001,C,8A,Non-Amended,1,111,6.1,156,135,1.1,0.94
e001,C,8A,Non-Amended,1,112,6.5,167,132,0.7,0.84
e001,C,8A,Non-Amended,1,113,6.6,132,202,0.8,1.03
e001,C,10D,Amended,2,21,6.4,156,150,3.9,1.28
e001,C,10D,Amended,2,22,6.4,133,155,1.8,1.34
e001,C,10D,Amended,2,23,6.1,98,122,4.5,1.06
e001,C,26A,Non-Amended,3,31,6.3,158,142,0.8,0.73
e001,C,26A,Non-Amended,3,32,6.3,128,154,0.7,0.77
e001,C,26A,Non-Amended,3,33,6.7,156,140,0.7,0.5
e001,C,19D,Amended,4,41,6.1,170,193,1.4,0.66
e001,C,19D,Amended,4,42,5.9,164,178,1.7,0.92
e001,C,19D,Amended,4,43,5.9,194,160,1.4,1.42
e001,C,47A,Non-Amended,5,51,6.5,155,181,4.7,0.49
e001,C,47A,Non-Amended,5,52,5.8,123,147,5.8,0.73
e001,C,47A,Non-Amended,5,53,5.9,145,141,2.4,0.55
e001,C,46D,Amended,6,61,5.9,169,191,4.8,0.74
e001,C,46D,Amended,6,62,6,178,205,2.5,0.7
e001,C,46D,Amended,6,63,6,167,149,5.7,0.71
