Plot,Isolate_x,Isolate_y,SICA,escape_ratio_x_from_y,escape_ratio_y_from_x,alt_escape_ratio_x_from_y,alt_escape_ratio_y_from_x
3,3A,3B,Chloramphenicol,2.780982906,NA,1.218985657,0
3,3A,3B,Rifampicin,0.427706553,Inf,0.456010646,7.988970588
3,3A,3B,Streptomycin,0.866809117,Inf,1.125683868,1.257352941
3,3A,3B,Streptothricin,0.341524217,Inf,0.387845631,5.330882353
3,3A,3B,Tetracycline,1.321225071,Inf,1.131154813,1.720588235
3,3A,3B,Vancomycin,0.206552707,Inf,0.235842082,10.92647059
3,3A,3C,Chloramphenicol,5.476157083,0,1.792563601,0
3,3A,3C,Rifampicin,0.937587658,13.51724138,0.663839965,1.711320755
3,3A,3C,Streptomycin,1.235624123,4.586206897,1.12959339,0.646226415
3,3A,3C,Streptothricin,0.662692847,3.931034483,0.647749511,0.967924528
3,3A,3C,Tetracycline,6.119214586,0,1.923896499,0
3,3A,3C,Vancomycin,0.237026648,22.5862069,0.192433138,3.969811321
3,3A,3D,Chloramphenicol,0.832884097,3.666666667,0.7344,0.854938272
3,3A,3D,Rifampicin,5.787061995,2.473684211,4.9064,0.287722908
3,3A,3D,Streptomycin,2.506738544,1.649122807,3.5912,0.172839506
3,3A,3D,Streptothricin,1.404312668,1.245614035,1.1528,0.654663923
3,3A,3D,Tetracycline,1.250673854,5.666666667,1.1712,0.974622771
3,3A,3D,Vancomycin,1.164420485,11.57894737,0.6032,1.375514403
3,3A,3E,Chloramphenicol,0.37704918,Inf,0.916010499,0.509550713
3,3A,3E,Rifampicin,0.677595628,Inf,0.6167979,1.897497982
3,3A,3E,Streptomycin,1.207650273,Inf,0.986220472,1.147968792
3,3A,3E,Streptothricin,16.0291439,NA,5.835958005,0
3,3A,3E,Tetracycline,0.62295082,Inf,0.395669291,1.170836696
3,3A,3E,Vancomycin,0.553734062,Inf,0.291994751,2.593758407
3,3A,3F,Chloramphenicol,2.363636364,Inf,1.085664336,0.458443621
3,3A,3F,Rifampicin,1.568181818,Inf,0.866258741,1.209634727
3,3A,3F,Streptomycin,3.727272727,Inf,1.371940559,0.828480678
3,3A,3F,Streptothricin,90.04545455,NA,3.814248252,0.005823187
3,3A,3F,Tetracycline,17.57954545,Inf,3.053758741,0.058231869
3,3A,3F,Vancomycin,0.636363636,Inf,0.255681818,2.571731075
3,3A,3G,Chloramphenicol,13.680067,0,1.985583854,0
3,3A,3G,Rifampicin,5.986599665,0.555555556,1.461556944,0.482625483
